MAT.1.1	Sanqbof heu-aq, 
MAT.3.4	Yorhaq-aq, lawtaw cafhm-euq maeqtsoeq dm-awr, jof-anr shaqkhov jofpaf paftaq-awr nae, nyaevbanr hawr-eu bawrtsanq byaquir dzaq-eu mae.
MAT.3.5	Khoerngae, Yeqlursaqlaeq-anr jawr-eu tsawrhaq, Yurdav mirkhanq doeni jawr-eu tsawrhaq hawr-eu, Yawrdaq lawrbaq gawvtaw jawr-eu tsawrhaq dawqtawvluf Yorhaq jawr-eu gar ir-awr, 
MAT.3.6	aqyawfmaf, yawqha-euq iqbax jadov jadov-aer, Yawrdaq lawrbaq-euq lafkhoer Yorhaq nae bartirsaq bi mrnaeq-euq mae.
MAT.3.8	Nawmaf noeqpov noeqpar-euq gar geux-eu arsiq bi siqle-awq. 
MAT.3.9	‘Aqbyaqhaq-aq, nga’maf-euq aqda yawdzanr ma’ laer nawmaf-euq nuima-euq lafkhoer taqnoeq. Ngar, nawmaf-anr aernaeq nyar, Miqyaer-aq, khaqlo heudeuq-anr Aqbyaqhaq-euq zaq bi pyeuflar nya-eu mae. 
MAT.3.10	Nymq-mr deuvhaq, arbawr-euq dawqpaeq-anr bafmawq taq-euq mae. Arsiq yawmuiq maq siqle-eu arbawr yawqbawr navluf turdzae-awr, miqdzaq-anr bafpuiv taef-a.
MAT.3.11	Nawmaf noeqpov noeqparni, ngar-aq, aqdir nawmaf-anr ircuf nae bartirsaq mrnaeq luf-eu ma. Aerkhawf, ngaq-euq maeqnan oeluf-eu ghaq-aq, ngaq-euq navmaqtser baoq huiq-eu mae. Ngar-aq, aqyawf-euq saeqnawv yurnaeq-eu taef khawf maqgeux-a. Aqyawf-aq, Yawshawr Saflar hawr-eu miqdzaq nae nawmaf-anr bartirsaq mrnaeq taef-a. 
MAT.3.12	Aqyawf-euq aqlaf-euq lafkhoer caer bawseu nyaeftaeq taq-euq mae. Aqyawf-euq caerbymr saqkhawf lavluiv-awr, caermar deuq caerjir-anr pi’anr taef-a. Caerkhawf deuq-anr-aq, maqmiv-ir-eu miqdzaq nae keuqdzae taef-a.”
MAT.3.13	Khoerngae, Yeqsur, Yorhaq-euq bartirsaq hageuf-eu laer Gaqliqlaer mirkhanq-anr nae Yawrdaq lawrbaq-anr Yorhaq jawr-eu gar oe-euq mae. 
MAT.3.14	Yorhaq, Yeqsur-anr lavnaq-awr aer-eu, “Ngar, nawq nae bartirsaq bi mrnaeq-eu tsaq mae. Nawr ghaq, ngar jawr-eu gar paroe-euq le lor?”
MAT.3.15	Khoerngae, Yeqsur, aqyawf-anr aerkhof naeq-eu, “Nymq-mr pov-aq, mrnaeq laf-awq. Aqjeq mirnae aernar-aq, aqdui-euq gharduq tsaq-awr dawr-eu jeq dawqtawvluf byanlarni mr-eu tsaq taef-a.” Khoernar-aq, Yorhaq, aqyawf-anr bartirsaq mrnaeq-euq mae.
MAT.3.16	Yeqsur bartirsaq hageuf ghaq-euq naeq-aer, ircuf-anr nae dovlar-euq mae. Khoerngae, aqyawf-euq gharduq mq panlar-awr, Yawshawr Saflar, khaqkhoeq lof-aer zafka le-awr nae, aqyawf-euq khoertav zawdawf le-euq gar aqyawf ya’mawr-euq mae. 
MAT.3.17	Khoerngae, mq-anr nae tersar ngaeqdov lef-eu, “Heughaq-aq, ngar zawr gaq-eu ngaq-euq Zaqyo ma. Ngar, aqyawf-anr nuikhanrshir duidui ma.”
MAT.4.1	Khoerngae, Yeqsur, 
MAT.4.2	Aqyawf 40 nan 40 mir byanni dzardzaq sheuq-euq nar-aq, hawq maeflar-euq mae. 
MAT.4.3	Khoerngae, murjur jur-eu ghaq oe-awr aqyawf-anr aernaeq-eu, “Nawr, Miqyaer-euq Zaqyo ngeur nar-aq, khaqlo heudeuq-anr kaqmur pyeuflar-awq laer dawq bif-awq lawr.”
MAT.4.4	Aerkhawf, Yeqsur aerkhof naeq-eu,
MAT.4.4	laer 
MAT.4.5	Khoerngae, naef sanqpaq, Yeqsur-anr shawr-eu meuq-anr jav-eu 
MAT.4.6	aqyawf-anr aernaeq-eu, “Nawr, Miqyaer-euq Zaqyo ngeur nar-aq, tsawqka ghae-awq. Aqjeq mirnae aernar-aq, Yaerbof-euq lafkhoer boftaq-euq,
MAT.4.7	Yeqsur, aqyawf-anr aernaeq-eu,
MAT.4.7	laer Yaerbof-euq lafkhoer boftaq-euq mae.” 
MAT.4.8	Khoernar-aq, naef sanqpaq, aqyawf-anr gor duidui-eu gawqjawq-anr sheuqdav lef-awr, aqyawf-anr mirtsaq-euq khoertav kharjav-eu mirkhanq dawqtawvluf hawr-eu, mirkhanq khoerdeuq-euq yawshaef khanqsaer dawqtawv luf-anr bimawr-awr, 
MAT.4.9	aqyawf, Yeqsur-anr aernaeq-eu, “Nawr pawqtsuif pawqdmq dmq-awr ngaq-anr uqduqtanq nar-aq, heudeuq dawqtawvluf ngar, nawq-anr bifnaeq ma.”
MAT.4.10	Khoerngae, Yeqsur, aqyawf-anr aernaeq-eu, “Naef Saqdaq-or! Dov-ir-awq. Aqjeq mirnae aernar-aq, Yaerbof-euq lafkhoer boftaq-euq,
