MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
MAT.5.7	ajiena ate inche emmenie ing ningsie phavatehe!
MAT.5.8	Belungrier enthieng he enshii tthane,
MAT.5.8	ajiena ate inche emmenie ing Thangnhang chuw mhuwate!
MAT.5.9	Dejiim oumna nong aatuhe chuw enshii tthane,
MAT.5.9	ajiena ate inche emmenie Thangnhang siti gehe tevate!
MAT.5.10	Dharmo echer nong khuna encho enchii apha emmenie chuw enshii ttane,
MAT.5.10	ajiena ate inche Thangven Eruwng lepaa chuw enrotumga!
MAT.5.11	“Kii khuna mihin engeese, engeecho engeechii engkhejege nintaalina isii ikha echummaa menuw emminreen ninnu chuw ninshii tthane. 
MAT.5.12	Rotha minrho ruw engkhejege nung nge saruw, ajiena ate inche Thangven na nimmana lhungne, hanghin ichiin nimmana laarchangpa hechuw mihin amenanggehe.
MAT.5.13	“Ninnuwhie Lolhiipaam bechii chuwgechuw; chang gechuw bechii chuw aphung maangniebe ajiekhang ama iar nachuw oumrih chevate? Heve hii taangte enlhieniege mihin achienna maaniige ikana ajiidong oummanie.
MAT.5.14	“Ninnuw hii Lolhie paam Lengwaar chuw gechuw. Bung taalina enier kurnung chuw ethuwr rhumaa. 
MAT.5.15	Engkhejege mihin mhi beleng hege beluw mingkhumma. Chang gechuw taarbung taalina taarge eenshuwngna eong bekhena lengwaar apina. 
MAT.5.16	Hanghing ichiin nalengwaar chuw mihe mhekungna lengresie, engkhejege emmenie ing ninnong etthachuw mhuwhesing Thangvenna aeong nimnapa chuw mimpaa heresie.
MAT.5.17	“Waajeer ttongthole Laarchangpa hechuw amemaangna ejuwng ga ichiin emindeen maruw, kieing emmenie chuw emmang ejuwng maging changgechuw emmenie chuw abethungna ajuwng ging. 
MAT.5.18	Kie ing ninnhingna atataah ing kerhiernaa, Lolhie engkhejege Minven hii attim maataang, waajeer ttongtho chuw atungchir maataang, waajeer ttongtho tena aarie che le asin che azii ediise ingkhe pangdong maangmaanie. 
MAT.5.19	Achuwchuw gejenie heve ttongtho karna hing asiing engkhe pang gejenie bejur niige changchin mi nhingna minchuw niebe amachuw Thangven Eruwng lepaana asiing ga tevate, changgechuw minjieniege echum ing aminchuw ama mi chuwbe Thangven Eruwng lepaa na elhuwngga tevate. 
MAT.5.20	Kieing ninnhingna kerhiernaa, nindharmo echer khing Thiempuw engkhejege Pharisi he dharmo echer chuw thimaa niebe ninnuw Thangven Eruwng lepaa chuw sulhuwh lhuwh matenuw.
MAT.5.21	“Nang ing mi etheh rhumaanie, ingkhejege achuw engkhe ing mi thehniebe waajeer kengsiete bovate tege tiena mihe nhingna aherhier chuw ninnuw ing ninthiepe. 
MAT.5.22	Chang gechuw kie ing ninnhingna kerhiernaa amachuwbe auw ane nhingna abelung esii mi bekhe chuw waajeer kengsiete bovate, ingkhejege achuw engkhe ing auw ane chuw ningyaa peniebe ama upahe tantii phavate, engkhejege achuw engkhe ing inhuwr nang teniebe ama mhi longkong te bovate. 
MAT.5.23	Changtaa naching nang ing nakeethur chuw hebe kungna minlhen Kete natele, ingkhejege na-uw nane hing nataalina enrhuw nama oum niege ama chuw enthii teniebe, 
MAT.5.24	nakeethur chuw hebekungnama ing engkhejege enli, mensa ing nauw nanetho chuh enlure, chona vaanleeng ingkhejege nakeethur chuw minlhen.
MAT.5.25	“Nang ingeerhuma mi ing nang chuw waajeer aapuw nhingte enrhiele lhamna amatho ethupang aanrhuwna tu, changmaniebe ama ing nang chuw waajeer aapuw nhingte epevate, ingkhejege waajeer aapuw ing Rhingkhuwm aarhung nhingte epeniege nang chuw Rhingkhuwm shungte ethin vate. 
MAT.5.26	Kie ing ninnhingna atataa ing kerhiernaa, ninnuw ing nintuur bekhe sheer ninsing suwmataang chove mhin tena jungsuw matenuw.
MAT.5.27	“Mi puwsar, mi lumhee ing mitho Naama itu rhumanie tege aherhier kha ninnuw ing ninthiepe. 
MAT.5.28	Changgechuw kieing ninnhingna kerhiernaa, amachuwbe achuw ingkhe ing nepenuw ingkhe chuw ekaam khuwthier ing ebier niebe ama ing abelungrier na nepenuw thoching naama atupe. 
MAT.5.29	Namhee tachang ing nangchuw isii emintuniebe, chove chuw ekherjo ing lhimvourre; amaching nataa napum hie longkongte inthaah vang nate chang ingbe nahum baahkhe imaang ing tthalhane. 
MAT.5.30	Ingkhejege nakee tachang ing nang chuw isii emintuniebe chove chuw tinbong ing lhinvourre; amaching nataa napum hii longkongte inthaah vang nate changingbe nahum baahkhe imaang ing tthalhane.
MAT.5.31	“Hanghin je aherhier, ‘achuw ingkhe ing aalhangnuw entthefuwniebe ama ing alumhi nhingna entthena Lerii peresie!’ 
MAT.5.32	Changgechuw kie ing nanhingna kerhiernaa, naama itu nong lina maaniege achuw ingkhe alumhi chuw entthephuw niebe ama ing alumhi chuw naama itu aminsuwga; ingkhejege achuw ingkhe ing aantthefuw besa nepenuw beniebe ama ing mi lumhee naama atuga.
MAT.5.33	“Avonhie ninnuw ing tienana arhierbesa ninthiega, ‘nang ing ichuwm ma ing waasaah tumaa, nang ing ttong nadeen besa kha Thangpa nhingna nong ing tuh.’ 
MAT.5.34	Changgechuw kii ing ninnhingna kerhiernaa, Thangven romhingna ttong deenmaderuw ajiena ate inche heve hii Thangnhang Eruwng ongnaga; 
MAT.5.35	changmaniege lolhie romhing naje wasaahmaaruw ajiena ate inche heve hii Thangnhang khee chuwngnaga, changmaniege Jerusalem romhingna wasaahmaaruw ajiena ate inche heve hii elhungpaa Eruwng kurnung ga. 
MAT.5.36	Ingkhejege naluw bechuw ing wasaahmaa, ajiena ate inche nang ing sham ingkhe ipur changmaniege minduh chemachie. 
MAT.5.37	Nang ing narhier chuw ‘Ung’ genie ‘Ung’ changmaage ‘Ma’ genie ‘Ma’ teye; heve chungna athi chuwbe aetthamaa tena esuwhga.
MAT.5.38	“Hanghin ichiin aherhier chuw ninnuw ing ninthiepe, ‘Mhee ingkhe rotumna mhee ingkhe ingkhejege haa ingkhe rotumna haa ingkhe.’ 
MAT.5.39	Changgechuw kie ing ninnhingna kerhiernaa, etthamaa achuw ingkhe chuw diirmaruw changgechuw achuw ingkhe ing naheembeeng tachangna ibeengniebe anhingte leentaang paangkhe jechuw duh. 
MAT.5.40	Ingkhejege achuw ingkhe ing nalungo chuw ketaga teniege nataalina risang kaniebe napien jekha liesa-resii. 
MAT.5.41	Ingkhejege achuw ingkhe ing nang chuw lhammel ingkhe eminsitee niebe, amatho mel ennhii sih. 
MAT.5.42	Nanhingna ennhii ama nhingna chin pere, ingkhejege nanhingna epuwh ning ate mi chuw rutheemare.
MAT.5.43	“Hanghin ichiin aherhier chuw ninnu ing ninthiepe, ‘Vim chaang chuw ninning minsiiruw ingkhejege ingeerhuma hechuw harruw.’ 
