MAT.5.20	Kapila:nc ngo nolum lubidung, noluk Ru:ncpvncmc kumgotdc potin adnckvdv:dcmla, Parisi:kvdv:dcmyam, aiya:ma:mvlo, nolu cdvlosin taycngamong migom dungkodo:pc gva:lankuma:yc.
MAT.5.21	“Nolu tatto jc scmpc leketo:dcm tani:kvdv:dcm lubitungai, ‘Nolu tani:ycm mokeyoka; odokkc sc:kobvi mokeycnc bvm aro-lume:ycm kcba:lo tadpcnampc iyc.’ 
MAT.5.22	Cmpige:la ngo nolum lubidung jc sc:kobvi avkc bvrodcm aglvng sa:ycnc bvmsin tadjvgtarrom kcba:lo tapcnampc ido; sc:kobvi avkc bvrodcm aisi:ma:nc cmna luycnc bvm bottaru:nc kcba:lo tadjvgtarrom tadpcnampc iyc. 
MAT.5.23	Cdcmpidag nolu Ru:ncpvncmc kumdodo amancm bidodcm, odokkc odo nok bvrodc atvko nokkolo asin lckoma:namko dung cmna mc:pa:ycmvlo, 
MAT.5.24	nok amancm kumko amo:do mclangka odokkc gvlang, nok bvrodokki lckopo:langkuk. 
MAT.5.25	Lomdanna nom lugc:lvgnc tani:dokki ajonpc ilang, no tadjvg tarro okumdo:pc gvdodo:boi, ckvma:mvlo nom lugclvgncdc aro-lume: tadjvg tarro tadya:nc tani:dcm togc:lvgyc, odokkc cdc arolume: tadjvgtarrotadya:ncdc tekenlangcm togclvgyc, okokkc nom makana:lo tumyc; 
MAT.5.26	aropakpc, ngo nolum lubidung, no dorpcnam murko:dcm lcddarkc amcrdcm dorabma:sisscm kapcsin gvlennangkuma:yc.
MAT.5.27	“Nolu scmpc lunamdcm tatto, ‘Nolu amikc nc:ngcm la:biyoka.’ 
MAT.5.28	Cmpige:la ngo nolum ludung jc sc:koi nc:ng akoncm ka:bola ka:ycnc asinbo oddu:boi bvkkoki la:nampc ika:bong. 
MAT.5.29	Nok lagbvkkc amikdc pa:bcm imodagmvlo, cdcm karrensutok odokkc cdcm yoppaktoka; nok amvr appv:dcm uiamo:pc cra:lvgkosunamdcmpcyam amvrdok abangko mcpaknamdc aiya:dag. 
MAT.5.30	Odokkc nok lagbvkkc alagdc nom pa:bcm imodagmvlo, cdcm tcgtu:sutoka; odokkc nok amvrdok abangko mcpaknamdci aiya:dag nok amvrappv:dc uiamo:pc gvnamdcmpcyam.
MAT.5.31	“Scmsin lutagai, ‘Sc:kobvi avkc nc:ngcm mcpakyckunc, bvm mcpakkunamdok do:jvg adnam aborko bimotoka.’ 
MAT.5.32	Cmpige:la ngo nolum ludungkc sc:kobvi avkc nc:ngcm mcpakdokunc, aima:nc ka:bo-mc:bomvnsunamlok ma:mvlo, bvm amikc milbongkokki la:mvngvmvnsumonampc idag; odokkc sc:kovi mcpakkunam nc:ngcm la:donc, amikc nc:ngcm bv:sin la:nampc idag.
MAT.5.33	“Lekekc tani:kvdv:dcm nolu scmpc lckoda lunamdcm tatto, ‘Nolu lume:pc lula pesuyoka, cmpige:la okodcm pesutonc Ru:tumkcpc ipvtlangka.’ 
MAT.5.34	Ckvdaggom ngo nolum ludung, Nolu cmpcsin pesudanyoka, taycngamongcm suttomna, kapila:nc tclc Ru:ncpvnckc migompc ila dungko, 
MAT.5.35	cdcmanggom mo:pvscmsin lutomma:pcka, kapila:nc sc Bvkkc alclcgcngc, cdcmanggom Jerusalemdok aminno:sinmang, kapila:nc clc bottaru:nc Migomkc nogorc. 
MAT.5.36	Odokkc nok mittugcm pigapsula pesuyoka, kapila:nc no dumvt asongkosin kampomola:sinmang, yakamola:sinmang. 
MAT.5.37	No okkom ludonc cdc ‘Cdcmpc’ cdcmanggom cdc cdcmpcmang cmtoka; odokkc lubarnam atv appv:dc papi:nckvdv:dokkc lendo.
MAT.5.38	“Scmpc lunamcm nolu tattungai, ‘Amik apir lcgangc amik apirc odokkc a:yc asong lcgangc a:yc asongko.’ 
MAT.5.39	Cmpige:la ngo nolum ludung, Aima:ncdcm nv:tumyoka. Ckvdaggom sc:kaiyc nolum lagbvkkc migmodok piycmvlo, bvm akondcmsin tokanbilang; 
MAT.5.40	odokkc sc:kaiyc kcbangcm ba:ycm odokkc nok galungcm la:ycmvlo, bvm nok bottapaknc galugdcmsin mclvgbilang; 
MAT.5.41	odokkc nom sc:kaiyc mail ako gvpa:ru:yc cmna gvmoycmvlo, bvk lcdulo mail anyikopc gvlangka. 
MAT.5.42	Sc:ko nolukkolok kowa:ycnc bvm bilang, odokkc nokkolok nara:nc tani:ycm bima:pc mclvyokuka.
MAT.5.43	“Nolu tatto jc scmpc lutungai, ‘Noluk kumrvko:rcm aya:mvnsulangka odokkc noluk mirucm tayumlangka.’ 
MAT.5.44	Cmpige:la ngo nolum ludung, noluk ka:ruka:mangcm aya:mvnsulangka odokkc sc:kobulu nolum ipusire:la idagnc buluk lcgangc kumnangka, 
MAT.5.45	odomvlo nolu taycng among Abukc omma:pc iycpc; kapila:nc Bv Bvk do:nycm aima:nclang ainckc lcga:pc ka:modag, odokkc ainc ager gernckclang aima:nc ager gernc anyipaklok lcgang pcdongcm omodag. 
